 seqs      L    H   HV   T_eff |   old ms   new ms  speedup
-----------------------------------------------------------------
    1   2048   16   16   32768 |   0.0572   0.0437     1.31x
    2   2048   16   16   65536 |   0.0574   0.0435     1.32x
    4   2048   16   16  131072 |   0.0567   0.0481     1.18x
    8   2048   16   16  262144 |   0.0953   0.0922     1.03x
   16   2048   16   16  524288 |   0.1828   0.1800     1.02x
   32   2048   16   16 1048576 |   0.3591   0.3565     1.01x
    4    256   16   16   16384 |   0.0558   0.0432     1.29x
    4    512   16   16   32768 |   0.0560   0.0433     1.29x
    4   1024   16   16   65536 |   0.0567   0.0437     1.30x
    4   2048   16   16  131072 |   0.0573   0.0479     1.20x
    4   4096   16   16  262144 |   0.0954   0.0921     1.04x
    4   8192   16   16  524288 |   0.1828   0.1800     1.02x
    4  16384   16   16 1048576 |   0.3590   0.3563     1.01x
    4   2048    8    8   65536 |   0.0559   0.0431     1.30x
    4   2048   16   16  131072 |   0.0576   0.0478     1.20x
    4   2048   24   24  196608 |   0.0735   0.0701     1.05x
    4   2048   32   32  262144 |   0.0954   0.0922     1.03x
    4   2048   48   48  393216 |   0.1394   0.1362     1.02x
    4   2048   64   64  524288 |   0.1835   0.1809     1.01x
    4   2048   32   16  262144 |   0.0953   0.0921     1.03x
    4   2048   64   16  524288 |   0.1831   0.1800     1.02x
    4   2048   16   32  131072 |   0.0565   0.0478     1.18x
    1   4096   16   16   65536 |   0.0565   0.0427     1.32x
    2   4096   16   16  131072 |   0.0563   0.0479     1.18x
    8   4096   16   16  524288 |   0.1834   0.1805     1.02x
   32    512   16   16  262144 |   0.0955   0.0922     1.04x
   64    256   16   16  262144 |   0.0954   0.0920     1.04x
